StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,consent_agree,consent_age,Q91,1A_1,1B_1,2A_1,2B_1,3A_1,3B_1,4A_1,4B_1,5A_1,5B_1,6A_1,6B_1,7A_1,7B_1,8A_1,8B_1,9A_1,9B_1,10A_1,10B_1,11A_1,11B_1,12A_1,12B_1,13A_1,13B_1,14A_1,14B_1,15A_1,15B_1,16A_1,16B_1,17A_1,17B_1,18A_1,18B_1,slider_attn_check_1,slider_attn_check_2_1,speed,manage,age_og,gender_og,income_og,education_og,atten_check2,race_og,hispanic_og,state_og,urbancity,partyid_og,registered,vote_2020,pew_bornagain,pres_approve_nonbin,FL_5_DO,FL_10_DO,FL_11_DO,FL_12_DO,FL_13_DO,FL_14_DO,FL_15_DO,FL_16_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,I have read the above and agree to participate in this survey.,I am age 18 or over.,Please enter your Connect ID,"What is the likelihood that in the next decade or two advanced AI will lead to monopolies or concentration of power in a small number of companies? For example, a small number of companies might become so valuable from advanced AI that they have extreme influence on markets, the economy, or the government.",How impactful do you think that monopolies or the centralization of economic power from advanced AI might be for society?,"What is the likelihood that in the next decade or two advanced AI causes a major disruption of the economy, destabilizing labor markets? For example, advanced AI might make many skills obsolete, forcing some people to learn new skills to keep their jobs, and resulting in significant job losses for others.",How impactful do you think the disruption of the economy by advanced AI might be for society?,"What is the likelihood that in the next decade or two advanced AI leads to a global financial meltdown? For example, this might mean that automated decision making systems, such as in algorithmic trading systems with too much power and insufficient oversight, could result in a stock market crash.",How impactful do you think financial problems caused by advanced AI might be for society?,"What is the likelihood that in the next decade or two biases embedded in advanced AI tools might lead to significant increases in discrimination and social or income inequality? For example, biases in advanced AI might increase disparities in hiring and wage determination, credit scoring, mortgage and rental application decisions, assessment of job performance, criminal sentencing and policing, school admissions decisions and personalized learning systems, or decisions in healthcare diagnosis and treatment.",How impactful do you think increases in social or income inequality from advanced AI might be for society?,"What is the likelihood that in the next decade or two advanced AI technologies cause a decrease in personal privacy protections? For example, advanced AI might make surveillance more common and more acceptable for preventing crime, or, it might increase the demand for value of training data for AI models tremendously, resulting in a loosening of privacy protections.",How impactful do you think risks to privacy protections from advanced AI might be for society?,"What is the likelihood that in the next decade or two advanced AI results in extreme income inequality? For example, this might happen if advanced AI driven productivity gains generate tremendous new wealth, overwhelmingly benefiting those who are already very wealthy, while those with few or no investments see little or no benefits.",How impactful do you think severe income inequality from advanced AI might be for society?,What is the likelihood that in the next decade or two terrorists use advanced AI to create a deadly biological weapon or chemical weapon that is used at least once against a large number of civilians in a major terrorist attack?,How impactful do you think terrorist attacks with deadly biological or chemical weapons developed with advanced AI might be for society?,"What is the likelihood that in the next decade or two terrorists use advanced AI to create autonomous AI weapons for use in attacking civilians? For example, terrorists might use advanced AI to evade authorities and create cyberweapons and autonomous drones that could carry out attacks on critical infrastructure, such as hydroelectric dams or nuclear power plants, or on large civilian targets like airports or sporting arenas.",How impactful do you think terrorist attacks from advanced AI weapons might be for society?,"What is the likelihood in the next decade or two there are major cyber attacks on civilian targets enabled by advanced AI? For example, advanced AI might infiltrate and reprogram computer systems, like power grids or military computer systems, to execute destructive plans.",How impactful do you think cyber attacks from advanced AI might be for society?,"What is the likelihood that in the next decade or two advanced AI technology leads to society’s collective inability to determine what information is true or reliable? For example, this might happen if people over-rely on AI systems and blindly trust their outputs even if the output is wrong (e.g., fake news, generative AI like ChatGPT hallucinating or making things up).",How impactful do you think a gradual distortion of knowledge might be for society?,"What is the likelihood that in the next decade or two an advanced AI system relied upon for public safety, such as disease detection, self-driving vehicles, or disaster warning systems, malfunctions and results in a significant loss of life?",How impactful do you think the failure of safety critical advanced AI systems might be for society?,What is the likelihood that in the next decade or two an advanced AI arms race between the United States and China leads to a direct military conflict between the two countries’ armed forces?,How impactful do you think an AI arms race inspired conflict between the US and China might be for society?,"What is the likelihood that in the next decade or two one or more countries develop a strategic advantage in AI giving rise to a global power imbalance that favors authoritarianism? For example, this might happen if one or more authoritarian governments create radically advanced AI before other countries or disproportionately to other countries, giving them some sort of strategic advantage and allowing them to enforce their values amongst the rest of the world.",How impactful do you think losing an AI race might be for society?,"What is the likelihood that in the next decade or two an adversary uses advanced AI to engage in information warfare to destabilize an adversary? For example, this might involve a sustained effort to provide very persuasive and convincing misinformation, like deep fakes, generated by advanced AI with the longer-term goal of destabilizing society, or, a similar use of persuasive advanced AI technology in order to influence the outcome of one or more federal elections.",How impactful do you think a successful information warfare campaign by an adversary might be for affected members of society?,"What is the likelihood that in the next decade or two the computational resources required to support training, operation, and data storage for AI models consume enough energy that the resulting carbon emissions destabilize the global climate above and beyond the current median projections?",How impactful do you think this risk that increased climate volatility might be for society?,"What is the likelihood that in the next decade or two radically advanced AI overtakes existing global governments and implements a form of government that is not acceptable to the majority of humanity? For example, a society run by advanced AI might entail constant surveillance and no privacy, extreme poverty, a prohibition of religion or other critical liberties, or other restrictions causing widespread suffering or injustice.",How impactful do you think an advanced AI dystopia might be for society?,"What is the likelihood that in the next decade or two advanced AI will cause the collapse of human civilization resulting in global anarchy? For example, this might happen if AI automates systems like those for food production and distribution and we eventually lose control of our food supply resulting in mass famine; in this or other similar scenarios AI could lead to the deaths of so many people that governments cannot be sustained.",How impactful do you think civilization collapse might be for society?,What is the likelihood that in the next decade or two AI leads to human extinction?,How impactful do you think human extinction might be for society?,In this question we would like you to move the slider to the number sixty. This helps us to confirm that people taking the survey are reading the questions.,For this slider please move the slider to around where the word minor is on the scale.,"In your opinion, what should we do about risks from advanced AI?","In your opinion, who should manage risks from advanced AI?",What is your current age in years?,What is your gender?,What is your family income per year? (please provide pre-tax income),What is the highest level of education you have completed?,Which of the following would you be most surprised to find in the sea or ocean?,Which of the following best matches your racial identity?,"Do you consider yourself to be of Hispanic, Latino, or Spanish origin?",In which US State or District do you currently live?,How would you describe the place where you live?,"Generally speaking, do you think of yourself as a ...?",Are you registered to vote in US elections?,What was your vote in the 2020 Presidential election?,"Would you describe yourself as a ""born-again"" or evangelical Christian, or not?",Do you approve or disapprove of the way Joe Biden is handling his job as President?,FL_5 - Block Randomizer - Display Order,FL_10 - Block Randomizer - Display Order,FL_11 - Block Randomizer - Display Order,FL_12 - Block Randomizer - Display Order,FL_13 - Block Randomizer - Display Order,FL_14 - Block Randomizer - Display Order,FL_15 - Block Randomizer - Display Order,FL_16 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID118_TEXT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID38""}","{""ImportId"":""QID59""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID100""}","{""ImportId"":""QID41""}","{""ImportId"":""QID55""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID102""}","{""ImportId"":""QID101""}","{""ImportId"":""QID114""}","{""ImportId"":""QID111""}","{""ImportId"":""QID104""}","{""ImportId"":""FL_5_DO""}","{""ImportId"":""FL_10_DO""}","{""ImportId"":""FL_11_DO""}","{""ImportId"":""FL_12_DO""}","{""ImportId"":""FL_13_DO""}","{""ImportId"":""FL_14_DO""}","{""ImportId"":""FL_15_DO""}","{""ImportId"":""FL_16_DO""}"
2023-10-27 19:14:31,2023-10-27 19:31:06,IP Address,99.42.41.84,100,995,True,2023-10-27 19:31:07,R_2aDMWz24fz6cLIo,,,,,29.9762,-95.6401,anonymous,EN,1,,0,20,,Yes,Yes,BECF2F9B16A940B6AF998E88A451A254,80,69,90,72,5,78,70,72,80,84,60,72,20,75,25,72,80,72,10,85,5,61,60,77,45,84,90,85,2,76,1,100,1,100,1,100,60,27,We should maintain the current rate of AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",38,Man,"Between $20,000 and $49,999",Completed associate’s degree,Tiger,Identify with two or more races,"No, I am NOT of Hispanic, Latino, or Spanish origin",Texas,Suburb,Independent,"Yes, I am registered to vote","Did not vote in 2020, but was eligible to vote",No,Somewhat disapprove,FL_11|FL_16|FL_14|FL_15|FL_12|FL_10|FL_13,2-EconomicInstability|1- Monopolies&CentralizationofPower|3-FinancialMeltdown,4-Bias&Discrimination|6-ExtremeIncomeInequality|5-Privacy,9-CyberAttacks|8-TerroristAIWeaponsAttack|7-TerroristWMDAttack,11-SafetySystemsFailures|10-KnowledgeDeterioration,14-InformationWarfare|12-AIArmsRace|13-GlobalPowerShift,15-EnergyConsumption,16-Dystopia|18-Extinction|17-CivilizationalCollapse
2023-10-27 19:21:01,2023-10-27 19:31:30,IP Address,75.89.179.3,100,628,True,2023-10-27 19:31:31,R_XmNqQXqmE9Q0e0F,,,,,37.9874,-84.4804,anonymous,EN,1,,0,0,,Yes,Yes,41DD0ADC4C22439B9A954DD7B9930EC1,59,57,63,86,79,85,90,99,89,88,84,74,100,100,100,100,50,71,89,73,59,72,60,72,90,100,80,72,50,72,9,100,19,100,19,100,60,25,We should slow down the rate of AI progress.,National governments should manage the majority of risks.,61,Woman,"Between $50,000 and $79,999",Completed associate’s degree,Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Kentucky,Rural area,Democrat,"Yes, I am registered to vote",Donald Trump,Yes,Strongly disapprove,FL_14|FL_15|FL_13|FL_16|FL_12|FL_10|FL_11,2-EconomicInstability|3-FinancialMeltdown|1- Monopolies&CentralizationofPower,5-Privacy|4-Bias&Discrimination|6-ExtremeIncomeInequality,9-CyberAttacks|7-TerroristWMDAttack|8-TerroristAIWeaponsAttack,10-KnowledgeDeterioration|11-SafetySystemsFailures,14-InformationWarfare|12-AIArmsRace|13-GlobalPowerShift,15-EnergyConsumption,18-Extinction|16-Dystopia|17-CivilizationalCollapse
2023-10-27 19:23:28,2023-10-27 19:31:35,IP Address,67.150.19.55,100,487,True,2023-10-27 19:31:36,R_3oUhmKKUsXPSHsD,,,,,34.1931,-118.1383,anonymous,EN,0.8999999761581421,,0,0,,Yes,Yes,C47F8BB7BAED4020B72AD7D5E6DDBB55,93,91,83,72,87,83,59,39,91,68,90,87,9,81,38,64,79,70,49,74,9,24,74,100,20,27,79,51,68,59,88,71,49,47,11,83,59,27,We should take an indefinite pause on AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",70,Man,"Between $50,000 and $79,999",Completed master’s degree,Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",California,City,Other,"Yes, I am registered to vote",Other candidate,No,Strongly disapprove,FL_13|FL_14|FL_15|FL_10|FL_11|FL_12|FL_16,2-EconomicInstability|3-FinancialMeltdown|1- Monopolies&CentralizationofPower,5-Privacy|6-ExtremeIncomeInequality|4-Bias&Discrimination,7-TerroristWMDAttack|9-CyberAttacks|8-TerroristAIWeaponsAttack,10-KnowledgeDeterioration|11-SafetySystemsFailures,12-AIArmsRace|14-InformationWarfare|13-GlobalPowerShift,15-EnergyConsumption,18-Extinction|16-Dystopia|17-CivilizationalCollapse
2023-10-27 19:22:05,2023-10-27 19:31:39,IP Address,68.200.21.162,100,574,True,2023-10-27 19:31:40,R_1K3DMveAGkhahGN,,,,,28.87,-82.3468,anonymous,EN,1,,0,0,,Yes,Yes,B0F3D828DA0648879DD759D0EBE637EB,25,73,9,72,4,72,39,48,75,73,35,35,39,72,26,72,44,72,49,46,29,100,14,100,43,34,68,67,78,63,5,8,3,3,3,1,60,26,We should maintain the current rate of AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",68,Man,"Between $50,000 and $79,999","Some college, no degree",Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Florida,Town,Republican,"Yes, I am registered to vote",Donald Trump,No,Strongly disapprove,FL_11|FL_16|FL_15|FL_14|FL_12|FL_10|FL_13,1- Monopolies&CentralizationofPower|2-EconomicInstability|3-FinancialMeltdown,4-Bias&Discrimination|5-Privacy|6-ExtremeIncomeInequality,7-TerroristWMDAttack|9-CyberAttacks|8-TerroristAIWeaponsAttack,10-KnowledgeDeterioration|11-SafetySystemsFailures,13-GlobalPowerShift|14-InformationWarfare|12-AIArmsRace,15-EnergyConsumption,18-Extinction|16-Dystopia|17-CivilizationalCollapse
2023-10-27 19:21:06,2023-10-27 19:31:44,IP Address,47.184.168.82,100,638,True,2023-10-27 19:31:45,R_1Id8q3Ydb8TKp3Y,,,,,32.9569,-96.6746,anonymous,EN,0.8999999761581421,,0,0,,Yes,Yes,A2W7AI47DCZK75,90,82,90,73,85,97,49,73,100,100,95,100,99,100,99,100,90,97,100,100,75,99,100,100,100,100,100,100,83,72,100,99,100,100,75,99,60,26,We should accelerate the rate of AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",65,Woman,"$200,000 or more","Some college, no degree",Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Texas,Suburb,Independent,"Yes, I am registered to vote",Other candidate,No,Somewhat approve,FL_10|FL_12|FL_15|FL_11|FL_13|FL_14|FL_16,2-EconomicInstability|3-FinancialMeltdown|1- Monopolies&CentralizationofPower,6-ExtremeIncomeInequality|4-Bias&Discrimination|5-Privacy,9-CyberAttacks|8-TerroristAIWeaponsAttack|7-TerroristWMDAttack,11-SafetySystemsFailures|10-KnowledgeDeterioration,13-GlobalPowerShift|14-InformationWarfare|12-AIArmsRace,15-EnergyConsumption,18-Extinction|17-CivilizationalCollapse|16-Dystopia
2023-10-27 19:23:17,2023-10-27 19:32:02,IP Address,67.234.30.218,100,524,True,2023-10-27 19:32:02,R_26lRyZtCKSCnwAQ,,,,,36.291,-82.5001,anonymous,EN,0.800000011920929,,0,25,,Yes,Yes,74D01838F35C46D28BA99477505F39FB,70,72,90,84,70,100,39,49,100,72,29,26,90,100,95,100,100,100,100,100,75,84,90,100,95,100,100,100,0,0,79,82,9,100,10,100,60,26,We should slow down the rate of AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",62,Woman,"Under $20,000","Some college, no degree",Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Virginia,Town,Republican,"Yes, I am registered to vote",Donald Trump,No,Strongly disapprove,FL_13|FL_14|FL_12|FL_10|FL_11|FL_16|FL_15,1- Monopolies&CentralizationofPower|2-EconomicInstability|3-FinancialMeltdown,5-Privacy|6-ExtremeIncomeInequality|4-Bias&Discrimination,8-TerroristAIWeaponsAttack|7-TerroristWMDAttack|9-CyberAttacks,11-SafetySystemsFailures|10-KnowledgeDeterioration,14-InformationWarfare|13-GlobalPowerShift|12-AIArmsRace,15-EnergyConsumption,17-CivilizationalCollapse|16-Dystopia|18-Extinction
2023-10-27 19:24:35,2023-10-27 19:32:07,IP Address,73.246.53.15,100,451,True,2023-10-27 19:32:08,R_3OjoIbxgxDCszPT,,,,,42.1112,-88.0439,anonymous,EN,1,,0,0,,Yes,Yes,87E19F0A0B31461484704A06DB9A84C3,61,75,29,91,25,83,34,68,99,77,43,60,12,97,5,18,77,92,100,84,61,73,6,19,72,84,98,81,34,63,1,100,0,100,0,100,60,26,We should maintain the current rate of AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",35,Man,"Between $50,000 and $79,999",Completed master’s degree,Tiger,Asian or Asian American,"No, I am NOT of Hispanic, Latino, or Spanish origin",Illinois,Suburb,Democrat,"Yes, I am registered to vote","Did not vote in 2020, but was eligible to vote",No,Somewhat approve,FL_14|FL_12|FL_15|FL_13|FL_16|FL_10|FL_11,3-FinancialMeltdown|2-EconomicInstability|1- Monopolies&CentralizationofPower,4-Bias&Discrimination|6-ExtremeIncomeInequality|5-Privacy,8-TerroristAIWeaponsAttack|9-CyberAttacks|7-TerroristWMDAttack,11-SafetySystemsFailures|10-KnowledgeDeterioration,13-GlobalPowerShift|12-AIArmsRace|14-InformationWarfare,15-EnergyConsumption,18-Extinction|16-Dystopia|17-CivilizationalCollapse
2023-10-27 19:13:51,2023-10-27 19:32:20,IP Address,75.128.228.159,100,1108,True,2023-10-27 19:32:21,R_RVld0iSAaQAQ0IV,,,,,43.1228,-89.3841,anonymous,EN,0.800000011920929,,0,25,,Yes,Yes,600F030B71AC49A8BA01FA78090204A8,33,75,90,60,2,68,83,45,43,40,9,67,5,57,85,51,98,41,7,61,14,57,35,84,15,58,96,49,5,62,1,64,1,72,0,100,60,26,We should accelerate the rate of AI progress.,National governments should manage the majority of risks.,36,Man,"Between $50,000 and $79,999",Graduated from high school (Diploma/GED or equivalent),Tiger,Black or African American,"No, I am NOT of Hispanic, Latino, or Spanish origin",Wisconsin,City,Democrat,"Yes, I am registered to vote",Joe Biden,No,Somewhat disapprove,FL_16|FL_14|FL_15|FL_12|FL_13|FL_11|FL_10,1- Monopolies&CentralizationofPower|3-FinancialMeltdown|2-EconomicInstability,6-ExtremeIncomeInequality|5-Privacy|4-Bias&Discrimination,9-CyberAttacks|7-TerroristWMDAttack|8-TerroristAIWeaponsAttack,11-SafetySystemsFailures|10-KnowledgeDeterioration,13-GlobalPowerShift|14-InformationWarfare|12-AIArmsRace,15-EnergyConsumption,17-CivilizationalCollapse|16-Dystopia|18-Extinction
2023-10-27 19:18:40,2023-10-27 19:33:12,IP Address,142.196.248.153,100,871,True,2023-10-27 19:33:13,R_9EMLwOD0Q1sULol,,,,,28.6529,-81.2106,anonymous,EN,1,,0,0,,Yes,Yes,1A50C83D22B447A992C00AC1C88619DD,95,84,92,65,49,71,40,72,95,72,95,72,69,82,89,93,98,88,100,96,98,59,5,100,60,96,100,85,19,100,20,100,10,100,4,100,60,26,We should take an indefinite pause on AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",66,Woman,"Between $20,000 and $49,999","Some college, no degree",Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Florida,Rural area,Democrat,"Yes, I am registered to vote",Joe Biden,No,Strongly approve,FL_16|FL_11|FL_10|FL_14|FL_13|FL_15|FL_12,2-EconomicInstability|3-FinancialMeltdown|1- Monopolies&CentralizationofPower,6-ExtremeIncomeInequality|4-Bias&Discrimination|5-Privacy,9-CyberAttacks|7-TerroristWMDAttack|8-TerroristAIWeaponsAttack,10-KnowledgeDeterioration|11-SafetySystemsFailures,12-AIArmsRace|14-InformationWarfare|13-GlobalPowerShift,15-EnergyConsumption,16-Dystopia|17-CivilizationalCollapse|18-Extinction
2023-10-27 19:26:14,2023-10-27 19:33:50,IP Address,50.4.234.63,100,455,True,2023-10-27 19:33:51,R_2B2tq9wj8P3KOwy,,,,,27.7889,-82.7192,anonymous,EN,0.8999999761581421,,0,0,,Yes,Yes,001A08BD6CD14051966DA95937FA3CAB,72,53,58,63,32,53,13,16,54,33,32,52,23,75,70,46,54,51,25,40,33,55,32,76,30,61,50,40,7,51,44,45,4,83,7,100,60,26,We should slow down the rate of AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",35,Man,"Between $50,000 and $79,999",Completed bachelor’s degree,Tiger,White,Yes,Florida,City,Republican,"No, I am NOT registered to vote","Did not vote in 2020, but was eligible to vote",No,Strongly disapprove,FL_13|FL_16|FL_10|FL_11|FL_12|FL_15|FL_14,1- Monopolies&CentralizationofPower|3-FinancialMeltdown|2-EconomicInstability,5-Privacy|6-ExtremeIncomeInequality|4-Bias&Discrimination,9-CyberAttacks|7-TerroristWMDAttack|8-TerroristAIWeaponsAttack,10-KnowledgeDeterioration|11-SafetySystemsFailures,12-AIArmsRace|13-GlobalPowerShift|14-InformationWarfare,15-EnergyConsumption,17-CivilizationalCollapse|16-Dystopia|18-Extinction
2023-10-27 19:24:38,2023-10-27 19:34:07,IP Address,65.140.72.210,100,569,True,2023-10-27 19:34:07,R_1JKn0BMmMRdRCbz,,,,,47.6298,-117.3989,anonymous,EN,0.8999999761581421,,0,0,,Yes,Yes,F952705E9AF34EA2B529415CC0A56A59,15,49,24,53,14,49,20,43,31,49,15,41,15,80,29,71,30,72,15,72,5,72,25,74,15,70,30,57,3,71,2,95,2,100,0,100,60,27,We should maintain the current rate of AI progress.,National governments should manage the majority of risks.,60,Man,"Between $20,000 and $49,999","Some college, no degree",Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Washington,City,Independent,"Yes, I am registered to vote","Did not vote in 2020, but was eligible to vote",No,Strongly disapprove,FL_16|FL_15|FL_13|FL_11|FL_12|FL_14|FL_10,2-EconomicInstability|1- Monopolies&CentralizationofPower|3-FinancialMeltdown,5-Privacy|6-ExtremeIncomeInequality|4-Bias&Discrimination,8-TerroristAIWeaponsAttack|9-CyberAttacks|7-TerroristWMDAttack,11-SafetySystemsFailures|10-KnowledgeDeterioration,12-AIArmsRace|14-InformationWarfare|13-GlobalPowerShift,15-EnergyConsumption,17-CivilizationalCollapse|16-Dystopia|18-Extinction
2023-10-27 19:20:20,2023-10-27 19:34:11,IP Address,70.178.45.134,100,831,True,2023-10-27 19:34:12,R_2TY0iwRyovQ8dr7,,,,,35.3431,-94.3715,anonymous,EN,1,,0,5,,Yes,Yes,18BDFB63C00F45EAAF36A1523167E72A,100,100,89,72,97,67,100,72,100,50,100,73,63,100,100,100,100,100,100,100,62,38,52,73,90,75,100,91,16,14,66,75,100,100,43,100,60,26,We should take an indefinite pause on AI progress.,The companies developing AI technologies should manage the majority of risks.,67,Man,"Between $20,000 and $49,999",Completed bachelor’s degree,Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Arkansas,Suburb,Independent,"Yes, I am registered to vote",Donald Trump,Yes,Strongly disapprove,FL_12|FL_15|FL_13|FL_10|FL_16|FL_11|FL_14,3-FinancialMeltdown|1- Monopolies&CentralizationofPower|2-EconomicInstability,6-ExtremeIncomeInequality|4-Bias&Discrimination|5-Privacy,8-TerroristAIWeaponsAttack|7-TerroristWMDAttack|9-CyberAttacks,11-SafetySystemsFailures|10-KnowledgeDeterioration,12-AIArmsRace|14-InformationWarfare|13-GlobalPowerShift,15-EnergyConsumption,16-Dystopia|17-CivilizationalCollapse|18-Extinction
2023-10-27 19:14:51,2023-10-27 19:34:20,IP Address,199.80.74.68,100,1168,True,2023-10-27 19:34:20,R_XsLPPxDrC6AHYyJ,,,,,29.998,-90.2133,anonymous,EN,0.8999999761581421,,0,0,,Yes,Yes,A2E119E9A6D245F3B722B2E14697DB8E,29,69,59,61,64,75,45,72,39,62,15,84,29,74,35,83,15,72,10,72,6,95,9,71,39,94,54,72,69,72,5,83,5,99,1,100,59,26,We should slow down the rate of AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",37,Man,"Between $20,000 and $49,999",Graduated from high school (Diploma/GED or equivalent),Tiger,Black or African American,"No, I am NOT of Hispanic, Latino, or Spanish origin",Louisiana,Suburb,Democrat,"Yes, I am registered to vote",Joe Biden,No,Strongly approve,FL_13|FL_11|FL_14|FL_15|FL_12|FL_16|FL_10,2-EconomicInstability|3-FinancialMeltdown|1- Monopolies&CentralizationofPower,5-Privacy|4-Bias&Discrimination|6-ExtremeIncomeInequality,8-TerroristAIWeaponsAttack|9-CyberAttacks|7-TerroristWMDAttack,10-KnowledgeDeterioration|11-SafetySystemsFailures,12-AIArmsRace|14-InformationWarfare|13-GlobalPowerShift,15-EnergyConsumption,17-CivilizationalCollapse|16-Dystopia|18-Extinction
2023-10-27 19:19:54,2023-10-27 19:34:41,IP Address,75.67.93.103,100,886,True,2023-10-27 19:34:41,R_268xh2NO4sQdzog,,,,,42.1034,-70.6967,anonymous,EN,1,,0,0,,Yes,Yes,6FCD3AB04D754408A6F59C28BEFC1A20,54,74,83,77,70,76,51,56,80,72,69,62,95,98,85,97,99,96,60,72,25,82,29,84,65,61,93,76,29,40,24,99,15,100,0,100,59,26,We should slow down the rate of AI progress.,"International treaties, intergovernmental organizations, and non-governmental organizations should manage the majority of risks.",61,Woman,"Between $20,000 and $49,999",Completed master’s degree,Tiger,White,"No, I am NOT of Hispanic, Latino, or Spanish origin",Massachusetts,Suburb,Independent,"Yes, I am registered to vote",Other candidate,No,Strongly disapprove,FL_11|FL_12|FL_15|FL_14|FL_16|FL_10|FL_13,1- Monopolies&CentralizationofPower|3-FinancialMeltdown|2-EconomicInstability,4-Bias&Discrimination|5-Privacy|6-ExtremeIncomeInequality,9-CyberAttacks|8-TerroristAIWeaponsAttack|7-TerroristWMDAttack,11-SafetySystemsFailures|10-KnowledgeDeterioration,13-GlobalPowerShift|12-AIArmsRace|14-InformationWarfare,15-EnergyConsumption,17-CivilizationalCollapse|16-Dystopia|18-Extinction
